Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),ACR(Ohm),Internal Resistance(Ohm),dV/dt(V/s),dI/dt(A/s),Aux_Temperature_1,Aux_Temperature_2
102,"937,7055","06-05-2018 13:25:29,221","877,6029",2,1,"1,49995613098145","3,66624927520752","0,365647196769714",0,"1,30852067470551",0,,,"0,000156402587890625",,"34,8264961242676","34,8049354553223"
103,"947,7102","06-05-2018 13:25:39,226","887,6076",2,1,"1,49997520446777","3,66771793365479","0,369803607463837",0,"1,32376217842102",0,,,"0,000178337097167969",,"34,832576751709","34,7219429016113"
104,"957,7153","06-05-2018 13:25:49,231","897,6127",2,1,"1,49996757507324","3,67198753356934","0,373982429504395",0,"1,33909285068512",0,,,"0,00278186798095703",,"34,3077025422092","34,7450942993164"
105,"967,716","06-05-2018 13:25:59,232","907,6134",2,1,"1,49992370605469","3,67075061798096","0,3781478703022",0,"1,35438418388367",0,,,"0,000172615051269531",,"33,2574882507324","33,2063064575195"
106,"977,724","06-05-2018 13:26:09,240","917,6214",2,1,"1,49998092651367","3,67239093780518","0,382311701774597",0,"1,36967194080353",0,,,"0,0001373291015625",,"33,4892974579308","34,7483634948731"
107,"987,7329","06-05-2018 13:26:19,249","927,6303",2,1,"1,49994659423828","3,67409992218018","0,386489033699036",0,"1,38501620292664",0,,,"0,000174522399902344",,"33,9979479239941","34,8582038879395"
108,"997,7344","06-05-2018 13:26:29,250","937,6318",2,1,"1,50000190734863","3,67581081390381","0,390647798776627",0,"1,40029942989349",0,,,"0,000203132629394531",,"34,4276008605957","34,7240600585938"
109,"1007,7344","06-05-2018 13:26:39,250","947,6318",2,1,"1,49998664855957","3,6776294708252","0,394813299179077",0,"1,41561496257782",0,,,"0,000147819519042969",,"34,6098080534164","34,8556137084961"
110,"1017,7384","06-05-2018 13:26:49,254","957,6358",2,1,"1,5000114440918","3,67940616607666","0,398980498313904",0,"1,43094408512115",0,,,"0,000145912170410156",,"34,7356796264648","34,8967437744141"
111,"1027,7418","06-05-2018 13:26:59,257","967,6392",2,1,"1,50000381469727","3,68122863769531","0,403156042098999",0,"1,44631159305573",0,,,"0,000180244445800781",,"34,7709499647993","34,8130989074707"
112,"1037,7457","06-05-2018 13:27:09,261","977,6431",2,1,"1,50000953674316","3,68303680419922","0,407322376966476",0,"1,46165251731873",0,,,"0,000207901000976563",,"34,8330640594705","34,8825035095215"
113,"1047,7507","06-05-2018 13:27:19,266","987,6481",2,1,"1,50000381469727","3,68485355377197","0,411489993333817",0,"1,47700583934784",0,,,"0,00018310546875",,"34,82373046875","34,7642440795898"
114,"1057,7595","06-05-2018 13:27:29,275","997,6569",2,1,"1,50000953674316","3,68668651580811","0,415657550096512",0,"1,49236643314362",0,,,"0,000233650207519531",,"34,9122161865234","34,8544578552246"
115,"1067,768","06-05-2018 13:27:39,284","1007,6654",2,1,"1,49996566772461","3,68849468231201","0,419833809137344",0,"1,5077668428421",0,,,"0,000150680541992188",,"34,9028511983067","34,9677772521973"
116,"1077,7725","06-05-2018 13:27:49,288","1017,6699",2,1,"1,49999237060547","3,6903600692749","0,424003422260284",0,"1,52315032482147",0,,,"0,000211715698242188",,"34,9493179321289","34,8811225891113"
117,"1087,774","06-05-2018 13:27:59,290","1027,6714",2,1,"1,5","3,6921558380127","0,428165555000305",0,"1,5385137796402",0,,,"0,00022125244140625",,"34,9198954662997","34,7869377136231"
118,"1097,7775","06-05-2018 13:28:09,293","1037,6749",2,1,"1,50001907348633","3,69393920898438","0,432337373495102",0,"1,55392050743103",0,,,"0,000174522399902344",,"34,9016532897949","34,8663711547852"
119,"1107,78","06-05-2018 13:28:19,296","1047,6774",2,1,"1,49998092651367","3,69571971893311","0,436505377292633",0,"1,56932044029236",0,,,"0,000224113464355469",,"34,9065742000708","34,7219429016113"
120,"1117,786","06-05-2018 13:28:29,302","1057,6834",2,1,"1,49999046325684","3,69745922088623","0,440669238567352",0,"1,58471250534058",0,,,"0,000191688537597656",,"34,9208219519644","34,5578155517578"
121,"1127,7922","06-05-2018 13:28:39,308","1067,6896",2,1,"1,50004768371582","3,69917011260986","0,444842904806137",0,"1,60014808177948",0,,,"0,00016021728515625",,"34,8970146179199","34,9114723205566"
122,"1137,7987","06-05-2018 13:28:49,314","1077,6961",2,1,"1,49999618530273","3,70087718963623","0,44901368021965",0,"1,61557996273041",0,,,"0,000176429748535156",,"34,9040184020996","34,8815765380859"
123,"1147,8073","06-05-2018 13:28:59,323","1087,7047",2,1,"1,5000114440918","3,70254802703857","0,453176826238632",0,"1,6309906244278",0,,,"0,000143051147460938",,"34,8921014069094","34,8030738830566"
124,"1157,8123","06-05-2018 13:29:09,328","1097,7097",2,1,"1,4999885559082","3,70420169830322","0,45734578371048",0,"1,64642989635468",0,,,"0,000156402587890625",,"34,833984375","34,7873954772949"
125,"1167,8174","06-05-2018 13:29:19,333","1107,7148",2,1,"1,5","3,70586585998535","0,461516588926315",0,"1,66188287734985",0,,,"0,000136375427246094",,"34,8619956970215","34,8030738830566"
126,"1177,8206","06-05-2018 13:29:29,336","1117,718",2,1,"1,50003623962402","3,70752906799316","0,465680778026581",0,"1,67731845378876",0,,,"0,000146865844726563",,"34,8230213246776","34,8231544494629"
127,"1187,8206","06-05-2018 13:29:39,336","1127,718",2,1,"1,50002861022949","3,70921802520752","0,469857394695282",0,"1,69280695915222",0,,,"0,000184059143066406",,"34,8650360107422","34,8616981506348"
128,"1197,8207","06-05-2018 13:29:49,336","1137,7181",2,1,"1,50000190734863","3,71089363098145","0,474012106657028",0,"1,7082211971283",0,,,"0,000193595886230469",,"34,9005466724848","34,8287239074707"
129,"1207,8261","06-05-2018 13:29:59,342","1147,7235",2,1,"1,5","3,71259021759033","0,478191584348679",0,"1,72373425960541",0,,,"0,000188827514648438",,"34,862491607666","34,8930053710938"
130,"1217,8264","06-05-2018 13:30:09,342","1157,7238",2,1,"1,50004005432129","3,71429252624512","0,482358187437058",0,"1,73920655250549",0,,,"0,000222206115722656",,"34,8753280639648","34,8287239074707"
131,"1227,8335","06-05-2018 13:30:19,349","1167,7309",2,1,"1,5","3,71599197387695","0,486519396305084",0,"1,75466597080231",0,,,"0,000231742858886719",,"34,9038352966309","34,887378692627"
