Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),ACR(Ohm),Internal Resistance(Ohm),dV/dt(V/s),dI/dt(A/s),Aux_Temperature_1,Aux_Temperature_2
87,"776,7668","07-12-2018 08:48:06,534","716,6726",2,1,"1,50015449523926","3,624436378479","0,298521727323532",0,"1,05753028392792",0,,,"0,000141143798828125",,"34,9316938789593","34,6104736328125"
88,"786,7702","07-12-2018 08:48:16,537","726,676",2,1,"1,50013160705566","3,62579727172852","0,302688658237457",0,"1,07263600826263",0,,,"8,7738037109375E-05",,"34,960880279541","34,5087280273438"
89,"796,7745","07-12-2018 08:48:26,541","736,6803",2,1,"1,49996376037598","3,627121925354","0,306858211755753",0,"1,08775675296783",0,,,"0,000111579895019531",,"34,95361328125","34,5248489379883"
90,"806,7779","07-12-2018 08:48:36,545","746,6837",2,1,"1,50014305114746","3,6285572052002","0,311025142669678",0,"1,10287380218506",0,,,"0,000180244445800781",,"34,9618263244629","34,5578308105469"
91,"816,7797","07-12-2018 08:48:46,547","756,6855",2,1,"1,50016212463379","3,62995433807373","0,3151915371418",0,"1,11799466609955",0,,,"0,000155448913574219",,"35,0518980557436","34,6214218139648"
92,"826,7816","07-12-2018 08:48:56,549","766,6874",2,1,"1,50014114379883","3,63128852844238","0,319359183311462",0,"1,13312590122223",0,,,"8,86917114257813E-05",,"35,0707996917124","34,6211738586426"
93,"836,7819","07-12-2018 08:49:06,549","776,6877",2,1,"1,50014495849609","3,63273620605469","0,32352802157402",0,"1,14826726913452",0,,,"0,0001068115234375",,"35,0327529907227","34,6614074707031"
94,"846,7854","07-12-2018 08:49:16,552","786,6912",2,1,"1,50014305114746","3,63419151306152","0,327693551778793",0,"1,16340267658234",0,,,"0,00014495849609375",,"35,0866312363084","34,6660614013672"
95,"856,7882","07-12-2018 08:49:26,555","796,694",2,1,"1,5001392364502","3,6356086730957","0,331860452890396",0,"1,1785489320755",0,,,"0,000128746032714844",,"35,1307601928711","34,6562385559082"
96,"866,7901","07-12-2018 08:49:36,557","806,6959",2,1,"1,50014877319336","3,63708972930908","0,336028695106506",0,"1,1937061548233",0,,,"0,000117301940917969",,"35,138671875","34,6842994689941"
97,"876,7901","07-12-2018 08:49:46,557","816,6959",2,1,"1,50018119812012","3,63858318328857","0,34019535779953",0,"1,20886397361755",0,,,"0,000125885009765625",,"35,135372194862","34,6684226989746"
98,"886,7919","07-12-2018 08:49:56,559","826,6977",2,1,"1,50014877319336","3,64010047912598","0,344363510608673",0,"1,22403335571289",0,,,"0,00014495849609375",,"35,1535911560059","34,6160430908203"
99,"896,7961","07-12-2018 08:50:06,563","836,7019",2,1,"1,50016784667969","3,64169597625732","0,348532140254974",0,"1,23921072483063",0,,,"0,000182151794433594",,"35,1551933128426","34,6812896728516"
100,"906,7996","07-12-2018 08:50:16,567","846,7054",2,1,"1,50013160705566","3,64319038391113","0,352701365947723",0,"1,2543967962265",0,,,"0,000128746032714844",,"35,186222076416","34,6670112609863"
101,"916,8007","07-12-2018 08:50:26,568","856,7065",2,1,"1,50018501281738","3,6448278427124","0,356867611408234",0,"1,26957881450653",0,,,"0,000111579895019531",,"35,1838760375977","34,6999816894531"
102,"926,8021","07-12-2018 08:50:36,569","866,7079",2,1,"1,50019454956055","3,64644527435303","0,361036866903305",0,"1,28477835655212",0,,,"0,000146865844726563",,"35,266242980957","34,7109413146973"
103,"936,8036","07-12-2018 08:50:46,571","876,7094",2,1,"1,50015830993652","3,64811515808105","0,365203976631165",0,"1,2999769449234",0,,,"0,000116348266601563",,"35,2307361338238","34,6884956359863"
104,"946,8054","07-12-2018 08:50:56,572","886,7112",2,1,"1,50016403198242","3,64976215362549","0,36937028169632",0,"1,31517946720123",0,,,"0,000203132629394531",,"35,2307361338238","34,750919342041"
105,"956,8065","07-12-2018 08:51:06,573","896,7123",2,1,"1,5001392364502","3,65148067474365","0,373537182807922",0,"1,33039140701294",0,,,"0,000154495239257813",,"35,2395975869662","34,7439041137695"
106,"966,8076","07-12-2018 08:51:16,574","906,7134",2,1,"1,50012016296387","3,65321254730225","0,377705365419388",0,"1,34561502933502",0,,,"0,000189781188964844",,"35,2171401977539","34,7214660644531"
107,"976,8112","07-12-2018 08:51:26,578","916,717",2,1,"1,50016021728516","3,65498542785645","0,381870657205582",0,"1,36083543300629",0,,,"0,00019073486328125",,"35,2201804810827","34,7950820922852"
108,"986,8128","07-12-2018 08:51:36,580","926,7186",2,1,"1,50018119812012","3,65681171417236","0,386038720607758",0,"1,37607336044312",0,,,"0,000217437744140625",,"35,2824974060059","34,7439041137695"
109,"996,8154","07-12-2018 08:51:46,582","936,7212",2,1,"1,49981689453125","3,65857887268066","0,390208333730698",0,"1,39132440090179",0,,,"0,000176429748535156",,"35,2600440979004","34,7336082458496"
110,"1006,8184","07-12-2018 08:51:56,585","946,7242",2,1,"1,50016212463379","3,66039943695068","0,394374370574951",0,"1,40656995773315",0,,,"0,00022125244140625",,"35,3053588867188","34,746467590332"
111,"1016,8184","07-12-2018 08:52:06,585","956,7242",2,1,"1,5001277923584","3,66226577758789","0,398540675640106",0,"1,42182421684265",0,,,"0,00016021728515625",,"35,2981033325195","34,7480773925781"
112,"1026,8211","07-12-2018 08:52:16,588","966,7269",2,1,"1,50016403198242","3,66409015655518","0,402707934379578",0,"1,43708944320679",0,,,"0,000197410583496094",,"35,2737848805701","34,7443504333496"
113,"1036,8233","07-12-2018 08:52:26,590","976,7291",2,1,"1,5001277923584","3,66596603393555","0,406875371932983",0,"1,45236325263977",0,,,"0,000168800354003906",,"35,2035484313965","34,6856842041016"
114,"1046,8254","07-12-2018 08:52:36,592","986,7312",2,1,"1,50010871887207","3,66786003112793","0,411044836044312",0,"1,46765232086182",0,,,"0,000185012817382813",,"35,2495227031956","34,7036781311035"
115,"1056,8262","07-12-2018 08:52:46,593","996,732",2,1,"1,50009727478027","3,66967678070068","0,415212601423264",0,"1,48294270038605",0,,,"0,00017547607421875",,"35,2866325378418","34,7268028259277"
116,"1066,8276","07-12-2018 08:52:56,594","1006,7334",2,1,"1,5001335144043","3,67151737213135","0,419379711151123",0,"1,4982385635376",0,,,"0,000177383422851563",,"35,2602272033691","34,6543464660645"
117,"1076,8305","07-12-2018 08:53:06,597","1016,7363",2,1,"1,50016021728516","3,67340183258057","0,42354479432106",0,"1,51353478431702",0,,,"0,000173568725585938",,"35,2599754358666","34,7413101196289"
